dirs,files,min,max,wall,user,system,mem,wall,user,system,mem
1,1000,1,10000,0.000,0.000,0.000,1473.600,0.000,0.000,0.000,260.800
1,1000000,1,10000,1.558,0.298,1.246,1384.800,0.008,0.000,0.009,5499.200
1000,1,1,10000,0.002,0.000,0.000,1453.600,0.000,0.000,0.000,7956.800
1000,1000,1,10000,1.506,0.308,1.188,1526.400,0.009,0.000,0.009,4044.800
1000000,1,1,10000,41.626,1.604,6.502,1490.400,5771.857,0.010,1.662,1612.800
