input,wall,user,system,mem.dat,wall,user,system,mem
chr10a,0.010,0.010,0.000,1484.000,0.000,0.000,0.000,512.000
chr12a,0.160,0.160,0.000,1507.200,0.000,0.000,0.000,259.200
chr12b,0.146,0.140,0.000,1490.400,0.000,0.000,0.000,220.800
chr12c,0.210,0.210,0.000,1479.200,0.000,0.000,0.000,1427.200
chr15a,15.442,15.412,0.000,1485.600,0.050,0.050,0.000,1764.800
chr15b,4.170,4.160,0.000,1512.000,0.000,0.000,0.000,632.000
chr15c,13.950,13.926,0.000,1495.200,0.000,0.000,0.000,395.200
chr18a,879.550,877.720,0.030,1492.000,N/A,N/A,N/A,N/A
