1 1 7.484
1 2 6.176
1 4 5.874
1 8 5.988
1 16 12.622
1 32 25.250
1 64 24.798
1 128 24.568
1 256 24.292
1 512 24.596
1 1024 62.218
1 2048 70.078

2 1 7.488
2 2 6.218
2 4 5.918
2 8 5.974
2 16 12.618
2 32 25.344
2 64 25.768
2 128 24.400
2 256 24.150
2 512 24.608
2 1024 62.166
2 2048 69.536

4 1 7.490
4 2 6.164
4 4 5.822
4 8 6.036
4 16 12.642
4 32 25.136
4 64 25.170
4 128 24.594
4 256 24.278
4 512 24.694
4 1024 61.404
4 2048 70.092

8 1 7.440
8 2 6.172
8 4 5.884
8 8 5.996
8 16 12.620
8 32 25.204
8 64 25.038
8 128 24.538
8 256 24.062
8 512 24.600
8 1024 62.224
8 2048 70.038

16 1 7.462
16 2 6.154
16 4 5.870
16 8 6.004
16 16 12.688
16 32 25.280
16 64 25.102
16 128 24.578
16 256 24.246
16 512 24.584
16 1024 62.938
16 2048 69.890

32 1 8.518
32 2 6.262
32 4 5.834
32 8 6.382
32 16 12.744
32 32 25.374
32 64 24.998
32 128 24.542
32 256 24.348
32 512 24.466
32 1024 62.718
32 2048 69.530

64 1 8.518
64 2 6.130
64 4 5.888
64 8 5.972
64 16 12.544
64 32 24.958
64 64 24.848
64 128 24.530
64 256 24.338
64 512 24.572
64 1024 62.600
64 2048 69.560

128 1 8.516
128 2 6.282
128 4 5.912
128 8 6.028
128 16 12.542
128 32 25.212
128 64 25.100
128 128 24.554
128 256 24.248
128 512 24.764
128 1024 62.964
128 2048 69.650

256 1 8.532
256 2 6.188
256 4 5.926
256 8 5.974
256 16 12.676
256 32 25.172
256 64 25.022
256 128 24.292
256 256 24.422
256 512 24.460
256 1024 62.546
256 2048 69.910

512 1 7.442
512 2 6.252
512 4 5.868
512 8 5.950
512 16 12.642
512 32 25.184
512 64 24.804
512 128 24.516
512 256 24.406
512 512 24.552
512 1024 62.184
512 2048 69.494

1024 1 7.428
1024 2 6.162
1024 4 5.844
1024 8 6.040
1024 16 12.676
1024 32 25.094
1024 64 24.994
1024 128 24.654
1024 256 24.348
1024 512 24.748
1024 1024 61.612
1024 2048 69.648

2048 1 7.466
2048 2 6.172
2048 4 5.888
2048 8 5.988
2048 16 12.640
2048 32 25.204
2048 64 25.014
2048 128 24.498
2048 256 24.406
2048 512 24.772
2048 1024 62.638
2048 2048 69.044

