dirs,files,min,max,wall,user,system,mem,wall,user,system,mem
1,100,1,1000,0.017,0.000,0.007,3617.333,0.000,0.000,0.000,98901.333
1,10000,1,1000,0.050,0.000,0.023,3242.667,0.000,0.000,0.000,2149.333
100,1,1,1000,0.037,0.000,0.010,3628.000,0.000,0.000,0.000,106816.000
100,100,1,10000,0.043,0.003,0.023,3218.667,0.000,0.000,0.000,2565.333
10000,1,1,1,0.123,0.017,0.080,3306.667,0.000,0.000,0.000,533.333
10000,1,1,10000,0.120,0.013,0.087,3232.000,0.000,0.000,0.000,7248.000
