dirs,files,min,max,wall,user,system,mem,wall (var),user (var),system (var),mem (var)
1,1000,1,10000,0.000,0.000,0.000,1403.200,0.000,0.000,0.000,9323.200
1,1000000,1,10000,1.608,0.260,1.348,1364.000,0.000,0.000,0.000,6736.000
1000,1,1,10000,0.000,0.000,0.000,1397.600,0.000,0.000,0.000,10308.800
1000,1000,1,10000,1.588,0.258,1.320,1436.800,0.000,0.000,0.000,9603.200
1000000,1,1,10000,9.664,1.608,7.226,1318.400,8.736,0.001,1.321,15996.800
