level delannoy mmul nbody npb_bt_w qap ssca2 
-O0 1252.000 24696.000 1734.667 4499.200 1509.200 8302.000 
-O1 1254.800 24764.000 1884.000 4387.200 1422.667 8288.800 
-O2 1294.667 24806.667 1828.000 4408.000 1468.800 8326.000 
-O3 1316.000 24745.333 1798.667 4392.000 1485.333 8243.333 
-Ofast 1284.000 24762.800 1777.333 4418.000 1488.800 8286.800 
-Os 1247.200 24704.000 1862.667 4437.333 1465.333 8310.400 
