level delannoy mmul nbody npb_bt_w qap ssca2 
-O0 5.465 4.287 2.273 7.587 7.796 6.528 
-O1 4.439 1.577 0.580 1.986 2.497 4.138 
-O2 0.770 1.523 0.547 2.110 2.234 3.809 
-O3 0.807 1.520 0.503 1.990 2.203 3.548 
-Ofast 0.872 1.315 0.460 2.527 2.359 3.954 
-Os 4.586 1.557 0.717 2.210 2.543 4.594 
