level delannoy mmul nbody npb_bt_w qap ssca2 
-O0 0.000 0.001 0.000 0.000 0.000 0.000 
-O1 0.000 0.000 0.000 0.000 0.000 0.000 
-O2 0.000 0.000 0.000 0.000 0.000 0.000 
-O3 0.000 0.002 0.000 0.000 0.000 0.000 
-Ofast 0.000 0.000 0.000 0.000 0.000 0.000 
-Os 0.000 0.003 0.000 0.000 0.000 0.000 
