level delannoy mmul nbody npb_bt_w qap ssca2 
-O0 9.640 5.871 4.767 11.610 13.950 9.750 
-O1 6.090 2.169 2.570 3.083 3.630 5.753 
-O2 3.227 1.977 2.550 3.210 3.123 4.877 
-O3 3.363 2.048 2.560 2.993 3.183 4.787 
-Ofast 3.320 2.010 1.857 2.987 3.170 4.687 
-Os 5.690 2.127 2.570 2.993 3.643 6.260 
