level delannoy mmul nbody npb_bt_w qap ssca2 
-O0 1341.333 24576.000 1885.333 4500.000 1524.000 8033.000 
-O1 1378.667 24584.000 1860.000 4440.000 1492.000 8032.000 
-O2 1349.333 24553.333 1912.000 4416.000 1497.333 8049.333 
-O3 1377.333 24593.600 1832.000 4529.333 1520.000 8084.000 
-Ofast 1345.333 24505.333 1893.333 4444.000 1518.667 8050.667 
-Os 1372.000 24623.000 1868.000 4368.000 1532.000 8064.000 
