Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     33.88     0.00       16     0.00     0.00  lua_checkstack
  0.00     33.88     0.00       15     0.00     0.00  luaL_setfuncs
  0.00     33.88     0.00       15     0.00     0.00  lua_absindex
  0.00     33.88     0.00       15     0.00     0.00  lua_getmetatable
  0.00     33.88     0.00       14     0.00     0.00  adjustlocalvars
  0.00     33.88     0.00       14     0.00     0.00  leaveblock
  0.00     33.88     0.00       14     0.00     0.00  luaK_int
  0.00     33.88     0.00       14     0.00     0.00  luaV_finishget
  0.00     33.88     0.00       13     0.00     0.00  check_readonly
  0.00     33.88     0.00       13     0.00     0.00  luaK_reserveregs
  0.00     33.88     0.00       13     0.00     0.00  luaK_storevar
  0.00     33.88     0.00       13     0.00     0.00  luaL_getsubtable
  0.00     33.88     0.00       13     0.00     0.00  luaS_hashlongstr
  0.00     33.88     0.00       13     0.00     0.00  lua_tolstring
  0.00     33.88     0.00       12     0.00     0.00  prepbuffsize
  0.00     33.88     0.00       11     0.00     0.00  luaK_exp2K
  0.00     33.88     0.00       11     0.00     0.00  lua_setglobal
  0.00     33.88     0.00       10     0.00     0.00  codeABRK
  0.00     33.88     0.00       10     0.00     0.00  luaK_setreturns
  0.00     33.88     0.00       10     0.00     0.00  luaL_checkversion_
  0.00     33.88     0.00       10     0.00     0.00  luaL_requiref
  0.00     33.88     0.00       10     0.00     0.00  lua_callk
  0.00     33.88     0.00       10     0.00     0.00  lua_toboolean
  0.00     33.88     0.00       10     0.00     0.00  lua_touserdata
  0.00     33.88     0.00       10     0.00     0.00  lua_version
  0.00     33.88     0.00        9     0.00     0.00  freeexps
  0.00     33.88     0.00        9     0.00     0.00  luaD_rawrunprotected
  0.00     33.88     0.00        9     0.00     0.00  luaK_codeABx
  0.00     33.88     0.00        9     0.00     0.00  luaK_infix
  0.00     33.88     0.00        9     0.00     0.00  luaK_posfix
  0.00     33.88     0.00        9     0.00     0.00  luaL_checkudata
  0.00     33.88     0.00        9     0.00     0.00  luaL_prepbuffsize
  0.00     33.88     0.00        9     0.00     0.00  luaL_testudata
  0.00     33.88     0.00        9     0.00     0.00  lua_rawequal
  0.00     33.88     0.00        8     0.00     0.00  lua_gettop
  0.00     33.88     0.00        8     0.00     0.00  lua_pushnumber
  0.00     33.88     0.00        7     0.00     0.00  constfolding
  0.00     33.88     0.00        7     0.00     0.00  finishbinexpval
  0.00     33.88     0.00        7     0.00     0.00  getgeneric
  0.00     33.88     0.00        7     0.00     0.00  luaD_pcall
  0.00     33.88     0.00        6     0.00     0.00  close_func
  0.00     33.88     0.00        6     0.00     0.00  get2digits
  0.00     33.88     0.00        6     0.00     0.00  luaF_freeproto
  0.00     33.88     0.00        6     0.00     0.00  luaF_newproto
  0.00     33.88     0.00        6     0.00     0.00  luaH_setint
  0.00     33.88     0.00        6     0.00     0.00  luaK_finish
  0.00     33.88     0.00        6     0.00     0.00  luaL_callmeta
  0.00     33.88     0.00        6     0.00     0.00  luaL_tolstring
  0.00     33.88     0.00        6     0.00     0.00  luaO_pushvfstring
  0.00     33.88     0.00        6     0.00     0.00  luaT_gettm
  0.00     33.88     0.00        6     0.00     0.00  lua_pushfstring
  0.00     33.88     0.00        6     0.00     0.00  lua_rawseti
  0.00     33.88     0.00        6     0.00     0.00  lua_tointegerx
  0.00     33.88     0.00        6     0.00     0.00  lua_type
  0.00     33.88     0.00        6     0.00     0.00  open_func
  0.00     33.88     0.00        6     0.00     0.00  os_clock
  0.00     33.88     0.00        6     0.00     0.00  patchlistaux
  0.00     33.88     0.00        6     0.00     0.00  pushstr
  0.00     33.88     0.00        5     0.00     0.00  body
  0.00     33.88     0.00        5     0.00     0.00  fieldsel
  0.00     33.88     0.00        5     0.00     0.00  luaK_setoneret
  0.00     33.88     0.00        5     0.00     0.00  lua_setmetatable
  0.00     33.88     0.00        5     0.00     0.00  restassign
  0.00     33.88     0.00        4     0.00     5.63  GCTM
  0.00     33.88     0.00        4     0.00     0.00  allocupvalue
  0.00     33.88     0.00        4     0.00     0.00  check_next2
  0.00     33.88     0.00        4     0.00     0.00  codearith
  0.00     33.88     0.00        4     0.00     0.00  finishbinexpneg
  0.00     33.88     0.00        4     0.00     0.00  luaC_checkfinalizer
  0.00     33.88     0.00        4     0.00     0.00  luaK_getlabel
  0.00     33.88     0.00        4     0.00     0.00  luaK_patchtohere
  0.00     33.88     0.00        4     0.00     0.00  luaT_gettmbyobj
  0.00     33.88     0.00        4     0.00     0.00  lua_newuserdatauv
  0.00     33.88     0.00        4     0.00     0.00  lua_pushinteger
  0.00     33.88     0.00        4     0.00     0.00  lua_pushlstring
  0.00     33.88     0.00        3     0.00     0.00  addlenmod
  0.00     33.88     0.00        3     0.00     0.00  addnum2buff
  0.00     33.88     0.00        3     0.00     0.00  checkformat
  0.00     33.88     0.00        3     0.00     0.00  f_gc
  0.00     33.88     0.00        3     0.00     0.00  getF
  0.00     33.88     0.00        3     0.00     0.00  io_noclose
  0.00     33.88     0.00        3     0.00     0.00  isSCnumber
  0.00     33.88     0.00        3     0.00     0.00  luaB_print
  0.00     33.88     0.00        3     0.00     0.00  luaL_addvalue
  0.00     33.88     0.00        3     0.00     0.00  luaL_buffinit
  0.00     33.88     0.00        3     0.00     0.00  luaL_checklstring
  0.00     33.88     0.00        3     0.00     0.00  luaL_checknumber
  0.00     33.88     0.00        3     0.00     0.00  luaL_pushresult
  0.00     33.88     0.00        3     0.00     0.00  luaL_setmetatable
  0.00     33.88     0.00        3     0.00     0.00  luaS_eqlngstr
  0.00     33.88     0.00        3     0.00     0.00  luaZ_fill
  0.00     33.88     0.00        3     0.00     0.00  lua_isinteger
  0.00     33.88     0.00        3     0.00     0.00  lua_pushlightuserdata
  0.00     33.88     0.00        3     0.00     0.00  lua_pushnil
  0.00     33.88     0.00        3     0.00     0.00  lua_rawget
  0.00     33.88     0.00        3     0.00     0.00  lua_tonumberx
  0.00     33.88     0.00        3     0.00     0.00  str_format
  0.00     33.88     0.00        3     0.00     0.00  sweep2old
  0.00     33.88     0.00        3     0.00     0.00  warnfon
  0.00     33.88     0.00        2     0.00     0.00  block
  0.00     33.88     0.00        2     0.00     0.00  correctstack
  0.00     33.88     0.00        2     0.00     0.00  createlabel
  0.00     33.88     0.00        2     0.00     0.00  f_call
  0.00     33.88     0.00        2     0.00     0.00  forbody
  0.00     33.88     0.00        2     0.00     0.00  luaD_growstack
  0.00     33.88     0.00        2     0.00     0.00  luaD_inctop
  0.00     33.88     0.00        2     0.00     0.00  luaD_reallocstack
  0.00     33.88     0.00        2     0.00     0.00  luaH_getn
  0.00     33.88     0.00        2     0.00     0.00  luaK_concat
  0.00     33.88     0.00        2     0.00     0.00  luaK_goiftrue
  0.00     33.88     0.00        2     0.00     0.00  luaL_len
  0.00     33.88     0.00        2     0.00     0.00  luaV_objlen
  0.00     33.88     0.00        2     0.00     0.00  lua_gc
  0.00     33.88     0.00        2     0.00     0.00  lua_len
  0.00     33.88     0.00        2     0.00     0.00  lua_rawgeti
  0.00     33.88     0.00        2     0.00     0.00  setpath
  0.00     33.88     0.00        2     0.00     0.00  test_then_block
  0.00     33.88     0.00        1     0.00     0.00  atomic2gen
  0.00     33.88     0.00        1     0.00     0.00  closepaux
  0.00     33.88     0.00        1     0.00     0.00  docall
  0.00     33.88     0.00        1     0.00     0.00  entergen
  0.00     33.88     0.00        1     0.00     0.00  enterinc
  0.00     33.88     0.00        1     0.00     0.00  f_luaopen
  0.00     33.88     0.00        1     0.00     0.01  f_parser
  0.00     33.88     0.00        1     0.00     0.00  gctm
  0.00     33.88     0.00        1     0.00     0.00  luaC_barrierback_
  0.00     33.88     0.00        1     0.00     0.00  luaC_changemode
  0.00     33.88     0.00        1     0.00    22.52  luaC_freeallobjects
  0.00     33.88     0.00        1     0.00     5.63  luaD_closeprotected
  0.00     33.88     0.00        1     0.00     0.00  luaD_protectedparser
  0.00     33.88     0.00        1     0.00     0.00  luaF_close
  0.00     33.88     0.00        1     0.00     0.00  luaK_nil
  0.00     33.88     0.00        1     0.00     0.00  luaL_checkstack
  0.00     33.88     0.00        1     0.00     0.00  luaL_loadfilex
  0.00     33.88     0.00        1     0.00     0.00  luaL_newmetatable
  0.00     33.88     0.00        1     0.00     0.00  luaL_openlibs
  0.00     33.88     0.00        1     0.00     0.00  luaS_hash
  0.00     33.88     0.00        1     0.00     0.00  luaS_init
  0.00     33.88     0.00        1     0.00     0.00  luaS_resize
  0.00     33.88     0.00        1     0.00     0.00  luaT_init
  0.00     33.88     0.00        1     0.00     0.00  luaX_init
  0.00     33.88     0.00        1     0.00     0.00  luaX_setinput
  0.00     33.88     0.00        1     0.00     0.01  luaY_parser
  0.00     33.88     0.00        1     0.00     0.00  luaZ_init
  0.00     33.88     0.00        1     0.00     0.00  lua_atpanic
  0.00     33.88     0.00        1     0.00     0.00  lua_getglobal
  0.00     33.88     0.00        1     0.00     0.00  lua_load
  0.00     33.88     0.00        1     0.00     5.63  lua_newstate
  0.00     33.88     0.00        1     0.00     0.00  lua_pcallk
  0.00     33.88     0.00        1     0.00     0.00  lua_setwarnf
  0.00     33.88     0.00        1     0.00     0.00  luaopen_base
  0.00     33.88     0.00        1     0.00     0.00  luaopen_coroutine
  0.00     33.88     0.00        1     0.00     0.00  luaopen_debug
  0.00     33.88     0.00        1     0.00     0.00  luaopen_io
  0.00     33.88     0.00        1     0.00     0.00  luaopen_math
  0.00     33.88     0.00        1     0.00     0.00  luaopen_os
  0.00     33.88     0.00        1     0.00     0.02  luaopen_package
  0.00     33.88     0.00        1     0.00     0.00  luaopen_string
  0.00     33.88     0.00        1     0.00     0.00  luaopen_table
  0.00     33.88     0.00        1     0.00     0.00  luaopen_utf8
  0.00     33.88     0.00        1     0.00     0.01  pmain
  0.00     33.88     0.00        1     0.00     0.00  singlestep
  0.00     33.88     0.00        1     0.00     0.00  skipcomment
  0.00     33.88     0.00        1     0.00     0.00  stack_init
  0.00     33.88     0.00        1     0.00     0.00  tablerehash

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 33.88 seconds

index % time    self  children    called     name
[1]     99.7   27.83    5.96       6+306946324 <cycle 1 as a whole> [1]
               26.17    5.88       1             luaV_execute <cycle 1> [2]
                1.66    0.04 306946270             luaD_precall <cycle 1> [10]
                0.00    0.02       9             luaD_rawrunprotected <cycle 1> [30]
                0.00    0.01       1             pmain <cycle 1> [46]
                0.00    0.00       1             luaD_protectedparser <cycle 1> [63]
                0.00    0.00      10             luaL_requiref <cycle 1> [77]
                0.00    0.00       1             luaL_openlibs <cycle 1> [90]
                0.00    0.00       1             docall <cycle 1> [93]
                0.00    0.00       1             luaL_loadfilex <cycle 1> [152]
                0.00    0.00      16             luaD_callnoyield <cycle 1> [200]
                0.00    0.00      10             lua_callk <cycle 1> [214]
                0.00    0.00       7             luaD_pcall <cycle 1> [225]
                0.00    0.00       1             lua_pcallk <cycle 1> [269]
                0.00    0.00       1             lua_load <cycle 1> [268]
-----------------------------------------------
                                   1             luaD_callnoyield <cycle 1> [200]
[2]     94.6   26.17    5.88       1         luaV_execute <cycle 1> [2]
                3.69    0.00 310000031/310000031     luaD_pretailcall [9]
                0.99    0.00 271946179/271946189     luaH_getshortstr [11]
                0.22    0.09 25000004/25000004     forprep [12]
                0.25    0.00 10000001/10000002     luaF_closeupval [13]
                0.24    0.00 35000103/35000103     luaT_getvarargs [14]
                0.00    0.19  142857/142865      luaC_step [15]
                0.06    0.07 10000001/10000001     luaF_findupval [17]
                0.02    0.07 10000005/10000006     luaF_newLclosure [20]
                0.01    0.00       4/4           luaT_adjustvarargs [53]
                0.00    0.00       6/203         luaV_finishset [66]
                0.00    0.00      29/29          luaG_traceexec [193]
                0.00    0.00       4/31          luaD_poscall [192]
                             306946254             luaD_precall <cycle 1> [10]
-----------------------------------------------
                                                 <spontaneous>
[3]     83.1    0.00   28.15                 close_state [3]
                0.00   22.52       1/1           luaC_freeallobjects [4]
                0.00    5.63       1/1           luaD_closeprotected [8]
                0.00    0.00      35/20000430     luaM_free_ [23]
-----------------------------------------------
                0.00   22.52       1/1           close_state [3]
[4]     66.5    0.00   22.52       1         luaC_freeallobjects [4]
                0.00   22.52       4/4           GCTM [5]
                0.00    0.00     406/20000430     luaM_free_ [23]
                0.00    0.00     406/20000290     freeobj [27]
                0.00    0.00       6/6           luaF_freeproto [120]
                0.00    0.00      20/21          luaH_free [122]
                0.00    0.00       1/1           enterinc [261]
                0.00    0.00       1/142860      separatetobefnz [173]
-----------------------------------------------
                0.00   22.52       4/4           luaC_freeallobjects [4]
[5]     66.5    0.00   22.52       4         GCTM [5]
               18.55    3.97       4/6           luaD_pcall <cycle 1> [225]
                0.00    0.00       4/271946189     luaH_getshortstr [11]
                0.00    0.00       4/4           luaT_gettmbyobj [237]
-----------------------------------------------
                0.00    5.63       1/1           luaL_newstate [7]
[6]     16.6    0.00    5.63       1         lua_newstate [6]
                4.64    0.99       1/6           luaD_rawrunprotected <cycle 1> [30]
                0.00    0.00       1/40000947     l_alloc [28]
                0.00    0.00       1/1           luaS_hash [265]
-----------------------------------------------
                                                 <spontaneous>
[7]     16.6    0.00    5.63                 luaL_newstate [7]
                0.00    5.63       1/1           lua_newstate [6]
                0.00    0.00       1/1           lua_atpanic [267]
                0.00    0.00       1/1           lua_setwarnf [270]
-----------------------------------------------
                0.00    5.63       1/1           close_state [3]
[8]     16.6    0.00    5.63       1         luaD_closeprotected [8]
                4.64    0.99       1/6           luaD_rawrunprotected <cycle 1> [30]
-----------------------------------------------
                3.69    0.00 310000031/310000031     luaV_execute <cycle 1> [2]
[9]     10.9    3.69    0.00 310000031         luaD_pretailcall [9]
-----------------------------------------------
                                  16             luaD_callnoyield <cycle 1> [200]
                             306946254             luaV_execute <cycle 1> [2]
[10]     5.0    1.66    0.04 306946270         luaD_precall <cycle 1> [10]
                0.00    0.02       1/1           luaopen_package [33]
                0.00    0.00       1/1           luaopen_base [54]
                0.00    0.00       1/1           luaopen_io [69]
                0.00    0.00       1/1           gctm [70]
                0.00    0.00       1/1           luaopen_math [71]
                0.00    0.00       1/1           luaopen_string [72]
                0.00    0.00       1/1           luaopen_utf8 [78]
                0.00    0.00       1/1           luaopen_debug [79]
                0.00    0.00       1/1           luaopen_table [80]
                0.00    0.00       1/1           luaopen_os [82]
                0.00    0.00       1/1           luaopen_coroutine [81]
                0.00    0.00       3/3           f_gc [112]
                0.00    0.00       3/3           str_format [123]
                0.00    0.00       3/3           luaB_print [124]
                0.00    0.00      33/33          luaE_extendCI [125]
                0.00    0.00       2/2           luaD_reallocstack [159]
                0.00    0.00      27/31          luaD_poscall [192]
                0.00    0.00       6/6           os_clock [231]
                0.00    0.00       2/2           luaD_growstack [257]
                                   1             pmain <cycle 1> [46]
-----------------------------------------------
                0.00    0.00       4/271946189     GCTM [5]
                0.00    0.00       6/271946189     luaT_gettm [141]
                0.99    0.00 271946179/271946189     luaV_execute <cycle 1> [2]
[11]     2.9    0.99    0.00 271946189         luaH_getshortstr [11]
-----------------------------------------------
                0.22    0.09 25000004/25000004     luaV_execute <cycle 1> [2]
[12]     0.9    0.22    0.09 25000004         forprep [12]
                0.09    0.00 25000004/25000004     luaV_tointeger [19]
-----------------------------------------------
                0.00    0.00       1/10000002     luaF_close [140]
                0.25    0.00 10000001/10000002     luaV_execute <cycle 1> [2]
[13]     0.7    0.25    0.00 10000002         luaF_closeupval [13]
-----------------------------------------------
