level delannoy mmul nbody npb_bt_w qap ssca2 
-O0 9.657 5.897 4.780 11.640 13.973 9.777 
-O1 6.100 2.180 2.580 3.093 3.633 5.773 
-O2 3.237 1.990 2.550 3.220 3.130 4.893 
-O3 3.373 2.062 2.570 3.010 3.193 4.803 
-Ofast 3.330 2.023 1.863 3.000 3.183 4.707 
-Os 5.703 2.145 2.580 3.007 3.653 6.287 
